Brewery,City,Name,Abv,Ibu,Srm,Tags
Firehouse Brewing,Rapid City,Barely Blond,?,?,?,?
Firehouse Brewing,Rapid City,Brown Cow Ale,?,?,?,north_american_ale|american_style_brown_ale
Firehouse Brewing,Rapid City,Firehouse Red,?,?,?,north_american_ale|american_style_pale_ale
Firehouse Brewing,Rapid City,Smoke Jump Stout,?,?,?,north_american_ale|american_style_stout
Firehouse Brewing,Rapid City,Wilderness Wheat,?,?,?,north_american_lager|american_style_lager
Sioux Falls Brewing,Sioux Falls,Buffalo Stout,?,?,?,north_american_ale|american_style_stout
Sioux Falls Brewing,Sioux Falls,Canary Wheat,?,?,?,german_ale|south_german_style_hefeweizen
Sioux Falls Brewing,Sioux Falls,Midnight Star Ale,?,?,?,north_american_ale|american_style_pale_ale
Sioux Falls Brewing,Sioux Falls,Ringneck Red Ale,?,?,?,north_american_ale|american_style_amber_red_ale
