Brewery,City,Name,Abv,Ibu,Srm,Tags
Coast Brewing,Biloxi,Beau Rivage Bock,?,?,?,north_american_lager|american_style_lager
Coast Brewing,Biloxi,Biloxi Blonde,?,?,?,?
Coast Brewing,Biloxi,Biloxi Light,?,?,?,north_american_lager|american_style_lager
Coast Brewing,Biloxi,Ruby Red Lager,?,?,?,north_american_lager|american_style_lager
Coast Brewing,Biloxi,Steel Head Stout,?,?,?,north_american_ale|american_style_stout
Coast Brewing,Biloxi,Sunset Amber,?,?,?,north_american_ale|american_style_amber_red_ale
Lazy Magnolia Brewing Company,Kiln,Southern Pecan,4.25%,?,?,?
