Name,Address,City,State,Code,Website,Tags
Blue Corn Caf and Brewery - Albuquerque,?,Albuquerque,NM,,?,?
Chama River Brewing,4939 Pan American Freeway NE,Albuquerque,NM,87109,?,?
Dry Gulch Brewing,?,Albuquerque,NM,,?,?
High Desert Brewing Co.,1201 W. Hadley Ave.,Las Cruces,NM,88005,?,?
Marble Brewery,111 Marble Ave NW,Albuquerque,NM,87102,?,?
Milagro Brewery and Grill,?,Bernalillo,NM,,?,?
Santa Fe Brewing Company,35 Fire Place,Santa Fe,NM,87508,?,?
Second Street Brewery,1814 Second Street,Santa Fe,NM,87505,?,?
Socorro Springs Brewing,1012 North California Street,Socorro,NM,87801,?,?
