Brewery,City,Name,Abv,Ibu,Srm,Tags
Ali`i Brewing,Honolulu,Amber Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Ali`i Brewing,Honolulu,Golden Ale,?,?,?,north_american_ale|american_style_pale_ale
Ali`i Brewing,Honolulu,Kona Coffee Stout,?,?,?,north_american_ale|american_style_stout
Ali`i Brewing,Honolulu,Macadamia Nut Brown,?,?,?,?
Ali`i Brewing,Honolulu,Macadamia Nut Brown Ale,?,?,?,?
Ali`i Brewing,Honolulu,Pau Hana Porter,?,?,?,irish_ale|porter
Hapa*s Brew Haus and Restaurant,Kihei,Black Lava Lager,?,?,?,german_lager|german_style_schwarzbier
Hapa*s Brew Haus and Restaurant,Kihei,El Ni̱o Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Hapa*s Brew Haus and Restaurant,Kihei,Moonset Lager,?,?,?,north_american_lager|american_style_lager
Hapa*s Brew Haus and Restaurant,Kihei,Paradise Pale Lager,?,?,?,?
Hapa*s Brew Haus and Restaurant,Kihei,Red Eye Amber,?,?,?,north_american_ale|american_style_amber_red_ale
Hapa*s Brew Haus and Restaurant,Kihei,Red Sky Amber Lager,?,?,?,north_american_lager|american_style_lager
Hapa*s Brew Haus and Restaurant,Kihei,Stealth Dark Ale,?,?,?,irish_ale|porter
Kona Brewing,Kailua-Kona,Black Sand Porter,?,?,?,irish_ale|porter
Kona Brewing,Kailua-Kona,Fire Rock Pale Ale,5.8%,?,?,north_american_ale|american_style_pale_ale
Kona Brewing,Kailua-Kona,Lilikoi Wheat Ale,?,?,?,other_style|light_american_wheat_ale_or_lager
Kona Brewing,Kailua-Kona,Longboard Lager,5.5%,?,?,north_american_lager|american_style_lager
Kona Brewing,Kailua-Kona,Pipeline Porter,?,?,?,irish_ale|porter
Kona Brewing,Kailua-Kona,Stout,?,?,?,north_american_ale|american_style_stout
Kona Brewing,Kailua-Kona,Wailua,?,?,?,other_style|light_american_wheat_ale_or_lager
Maui Brewing Co.,Lahaina, Maui,Big Swell IPA,6.2%,?,?,north_american_ale|american_style_india_pale_ale
Maui Brewing Co.,Lahaina, Maui,Bikini Blonde Lager,3.8%,?,?,?
Maui Brewing Co.,Lahaina, Maui,Maui Coconut Porter,5.7%,?,?,irish_ale|porter
Mehana Brewing,Hilo,Beer,?,?,?,?
Mehana Brewing,Hilo,Red Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Sam Choy's Breakfast | Lunch | Crab & Big Aloha Brewery,Honolulu,Bumbucha Stout,?,?,?,north_american_ale|american_style_stout
Sam Choy's Breakfast | Lunch | Crab & Big Aloha Brewery,Honolulu,Ehu Ale,?,?,?,north_american_ale|american_style_brown_ale
Sam Choy's Breakfast | Lunch | Crab & Big Aloha Brewery,Honolulu,S-Team,?,?,?,?
Sharktooth Brewing,Kahului,Amber,?,?,?,north_american_ale|american_style_amber_red_ale
Sharktooth Brewing,Kahului,Big Kahuna Brown,?,?,?,north_american_ale|american_style_brown_ale
Sharktooth Brewing,Kahului,Hula Girl Pale Ale,?,?,?,?
Sharktooth Brewing,Kahului,Poi Dog Wheat,?,?,?,north_american_lager|american_style_lager
Sharktooth Brewing,Kahului,Porter,?,?,?,irish_ale|porter
Sharktooth Brewing,Kahului,Stout,?,?,?,north_american_ale|american_style_stout
Trade Winds Brewing,Wailuku,Gingerwheat,?,?,?,?
Trade Winds Brewing,Wailuku,Hula Berry,?,?,?,other_style|light_american_wheat_ale_or_lager
Trade Winds Brewing,Wailuku,Kuaipa,?,?,?,north_american_ale|american_style_india_pale_ale
Trade Winds Brewing,Wailuku,Paniolo Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Trade Winds Brewing,Wailuku,Sunset Ale,?,?,?,north_american_ale|american_style_pale_ale
