Name,Address,City,State,Code,Website,Tags
Ali`i Brewing,?,Honolulu,HI,,?,?
Hapa*s Brew Haus and Restaurant,?,Kihei,HI,,?,?
Kona Brewing,75-5629 Kuakini Highway,Kailua-Kona,HI,96740,?,?
Maui Brewing Co.,4405 Honoapiilani Highway #217,Lahaina, Maui,HI,96761,?,?
Mehana Brewing,275 East Kawili Street,Hilo,HI,96720,?,?
Sam Choy's Breakfast | Lunch | Crab & Big Aloha Brewery,580 North Nimitz Highway,Honolulu,HI,96817,?,?
Sharktooth Brewing,?,Kahului,HI,,?,?
Trade Winds Brewing,?,Wailuku,HI,,?,?
