Brewery,City,Name,Abv,Ibu,Srm,Tags
Catawba Valley Brewing Company,Glen Alpine,Firewater Indian Pale Ale,?,?,?,north_american_ale|american_style_india_pale_ale
Wedge Brewery,Asheville,Iron Rail IPA,7.2%,?,?,british_ale|english_style_india_pale_ale
