Brewery,City,Name,Abv,Ibu,Srm,Tags
Barley's #2 Smokehouse and Brewpub,Columbus,Robert Burns Scottish Ale,?,?,?,?
Barley's Brewing #1,Columbus,J. Scott Francis ESB,?,?,?,?
Barley's Brewing #1,Columbus,Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Barley's Brewing #1,Columbus,Pilsner,?,?,?,?
Barrel House Brewing Co.,Cincinnati,Cumberland Pale Ale,4.6%,?,?,north_american_ale|american_style_pale_ale
Barrel House Brewing Co.,Cincinnati,Duveneck's Dortmunder,4.5%,?,?,north_american_lager|american_style_lager
Barrel House Brewing Co.,Cincinnati,RedLegg Ale,4.9%,?,?,north_american_ale|american_style_amber_red_ale
Brew Kettle Taproom & Smokehouse BOP,Strongsville,Big Woody Lager,?,?,?,?
Cleveland ChopHouse and Brewery,Cleveland,K̦lsch,?,?,?,?
Columbus Brewing Company,Columbus,Summer Teeth,5.3%,?,?,german_ale|kellerbier___ale
Crooked River Brewing,Cleveland,Original ESB,?,?,?,?
Devil Mountain Brewing,Cincinnati,5 Malt Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Devil Mountain Brewing,Cincinnati,Black Honey Ale,?,?,?,north_american_lager|american_style_lager
Diamondback Brewery,Cleveland,Framboise,?,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Frontwaters Restaurant and Brewing,Marblehead,Port Clinton Porter,?,?,?,irish_ale|porter
Great Lakes Brewing,Cleveland,Barrel Select Pils,?,?,?,?
Great Lakes Brewing,Cleveland,Blackout Stout,9%,?,?,north_american_ale|american_style_imperial_stout
